service_date,origin_hub_id,destination_hub_id,final_service_units
03-03-2023,8,47,955
03-03-2023,47,6,1535
03-03-2023,41,36,2008
03-03-2023,2,1,1660
03-03-2023,37,36,64
03-03-2023,47,30,2280
03-03-2023,47,8,1850
03-03-2023,22,36,1670
03-03-2023,6,47,990
03-03-2023,46,33,1600
03-03-2023,45,44,1270
03-03-2023,33,46,950
03-03-2023,21,2,930
03-03-2023,36,22,1390
03-03-2023,2,14,1795
03-03-2023,1,2,935
03-03-2023,17,23,920
03-03-2023,4,29,990
03-03-2023,2,24,1775
03-03-2023,44,45,1080
03-03-2023,47,10,1155
03-03-2023,38,36,830
03-03-2023,19,30,1055
04-03-2023,45,46,3090
04-03-2023,46,45,2842
04-03-2023,45,47,3018
04-03-2023,47,45,2646
04-03-2023,46,9,3951
04-03-2023,9,46,4323
04-03-2023,46,48,5157
04-03-2023,48,46,4083
04-03-2023,45,9,2658
04-03-2023,9,45,2403
04-03-2023,47,5,2661
04-03-2023,5,47,1317
04-03-2023,46,44,2532
04-03-2023,46,35,2732
04-03-2023,45,28,1636
04-03-2023,35,46,1880
04-03-2023,44,46,1500
04-03-2023,2,40,2988
04-03-2023,11,36,1596
04-03-2023,19,32,2876
04-03-2023,36,11,4260
04-03-2023,28,45,1088
04-03-2023,2,30,3984
04-03-2023,40,2,2108
04-03-2023,30,2,2820
04-03-2023,32,19,1168
04-03-2023,12,36,2512
04-03-2023,47,43,1756
04-03-2023,13,23,2404
04-03-2023,36,7,1368
04-03-2023,43,47,1672
04-03-2023,7,36,1384
04-03-2023,36,12,2652
04-03-2023,46,18,1816
04-03-2023,18,46,1480
04-03-2023,45,48,1388
04-03-2023,45,42,1468
04-03-2023,23,25,2512
04-03-2023,48,45,1560
04-03-2023,42,45,1528
04-03-2023,2,47,1495
04-03-2023,3,45,1316
04-03-2023,46,15,1824
04-03-2023,45,34,1385
04-03-2023,47,2,1360
04-03-2023,34,45,845
04-03-2023,47,28,2425
04-03-2023,45,3,1260
04-03-2023,47,46,1795
04-03-2023,2,16,1505
04-03-2023,25,23,1328
04-03-2023,46,26,1445
04-03-2023,36,27,2732
04-03-2023,16,2,1620
04-03-2023,23,13,3435
04-03-2023,2,31,2348
04-03-2023,26,46,1525
04-03-2023,31,2,2156
04-03-2023,15,46,1380
04-03-2023,30,14,1708
04-03-2023,2,19,2040
04-03-2023,28,47,1260
04-03-2023,47,3,1385
04-03-2023,45,5,2015
04-03-2023,36,37,498
04-03-2023,46,47,1295
04-03-2023,5,45,1435
04-03-2023,46,20,1540
04-03-2023,3,47,1210
04-03-2023,20,46,1280
04-03-2023,19,2,1490
04-03-2023,27,36,1340
04-03-2023,14,30,1605
04-03-2023,45,39,1340
04-03-2023,39,45,792
04-03-2023,36,41,2572
04-03-2023,2,21,1710
04-03-2023,8,47,1110
04-03-2023,47,6,1385
04-03-2023,41,36,2472
04-03-2023,2,1,1475
04-03-2023,37,36,68
04-03-2023,47,30,2015
04-03-2023,47,8,1285
04-03-2023,22,36,1825
04-03-2023,6,47,985
04-03-2023,46,33,1470
04-03-2023,45,44,1115
04-03-2023,33,46,990
04-03-2023,21,2,1045
04-03-2023,36,22,1395
04-03-2023,2,14,1965
04-03-2023,1,2,1170
04-03-2023,17,23,1155
04-03-2023,4,29,1190
04-03-2023,2,24,1360
04-03-2023,44,45,1100
04-03-2023,47,10,1015
04-03-2023,38,36,990
04-03-2023,19,30,1610
05-03-2023,45,46,4144
05-03-2023,46,45,4100
05-03-2023,45,47,3184
05-03-2023,47,45,3926
05-03-2023,46,9,5148
05-03-2023,9,46,7047
05-03-2023,46,48,3969
05-03-2023,48,46,6612
05-03-2023,45,9,2658
05-03-2023,9,45,4086
05-03-2023,47,5,2286
05-03-2023,5,47,2700
05-03-2023,46,44,2004
05-03-2023,46,35,1984
05-03-2023,45,28,1280
05-03-2023,35,46,4892
05-03-2023,44,46,3312
05-03-2023,2,40,2432
05-03-2023,11,36,1100
05-03-2023,19,32,2928
05-03-2023,36,11,3640
05-03-2023,28,45,2532
05-03-2023,2,30,3644
05-03-2023,40,2,1296
05-03-2023,30,2,2616
05-03-2023,32,19,1252
05-03-2023,12,36,2692
05-03-2023,47,43,1856
05-03-2023,13,23,2632
05-03-2023,36,7,1232
05-03-2023,43,47,1568
05-03-2023,7,36,1456
05-03-2023,36,12,1764
05-03-2023,46,18,1468
05-03-2023,18,46,2020
05-03-2023,45,48,1368
05-03-2023,45,42,1860
05-03-2023,23,25,1720
05-03-2023,48,45,1916
05-03-2023,42,45,1940
05-03-2023,2,47,1550
05-03-2023,3,45,1700
05-03-2023,46,15,1340
05-03-2023,45,34,1380
05-03-2023,47,2,1715
05-03-2023,34,45,1750
05-03-2023,47,28,1840
05-03-2023,45,3,1124
05-03-2023,47,46,2140
05-03-2023,2,16,1785
05-03-2023,25,23,1472
05-03-2023,46,26,1650
05-03-2023,36,27,2140
05-03-2023,16,2,1745
05-03-2023,23,13,3005
05-03-2023,2,31,1900
05-03-2023,26,46,1950
05-03-2023,31,2,2512
05-03-2023,15,46,1856
05-03-2023,30,14,1140
05-03-2023,2,19,1530
05-03-2023,28,47,2070
05-03-2023,47,3,1160
05-03-2023,45,5,1370
05-03-2023,36,37,429
05-03-2023,46,47,1610
05-03-2023,5,45,2290
05-03-2023,46,20,1520
05-03-2023,3,47,1645
05-03-2023,20,46,1685
05-03-2023,19,2,1370
05-03-2023,27,36,1180
05-03-2023,14,30,1875
05-03-2023,45,39,1336
05-03-2023,39,45,2960
05-03-2023,36,41,2460
05-03-2023,2,21,1455
05-03-2023,8,47,2260
05-03-2023,47,6,1115
05-03-2023,41,36,1980
05-03-2023,2,1,1375
05-03-2023,37,36,38
05-03-2023,47,30,1850
05-03-2023,47,8,940
05-03-2023,22,36,1260
05-03-2023,6,47,1545
05-03-2023,46,33,1365
05-03-2023,45,44,1140
05-03-2023,33,46,2335
05-03-2023,21,2,1380
05-03-2023,36,22,1620
05-03-2023,2,14,1205
05-03-2023,1,2,1480
05-03-2023,17,23,1265
05-03-2023,4,29,1040
05-03-2023,2,24,1375
05-03-2023,44,45,1525
05-03-2023,47,10,945
05-03-2023,38,36,1005
05-03-2023,19,30,1475
06-03-2023,45,46,2714
06-03-2023,46,45,3244
06-03-2023,45,47,2548
06-03-2023,47,45,2612
06-03-2023,46,9,3156
06-03-2023,9,46,4866
06-03-2023,46,48,2637
06-03-2023,48,46,4218
06-03-2023,45,9,1743
06-03-2023,9,45,3051
06-03-2023,47,5,1701
06-03-2023,5,47,1719
06-03-2023,46,44,1368
06-03-2023,46,35,1472
06-03-2023,45,28,836
06-03-2023,35,46,2320
06-03-2023,44,46,1464
06-03-2023,2,40,1548
06-03-2023,11,36,1424
06-03-2023,19,32,2192
06-03-2023,36,11,3656
06-03-2023,28,45,1136
06-03-2023,2,30,2252
06-03-2023,40,2,788
06-03-2023,30,2,2216
06-03-2023,32,19,1136
06-03-2023,12,36,1944
06-03-2023,47,43,1340
06-03-2023,13,23,2496
06-03-2023,36,7,948
06-03-2023,43,47,948
06-03-2023,7,36,1100
06-03-2023,36,12,1608
06-03-2023,46,18,1004
06-03-2023,18,46,1380
06-03-2023,45,48,968
06-03-2023,45,42,1668
06-03-2023,23,25,2324
06-03-2023,48,45,1520
06-03-2023,42,45,1256
06-03-2023,2,47,1315
06-03-2023,3,45,1296
06-03-2023,46,15,740
06-03-2023,45,34,940
06-03-2023,47,2,965
06-03-2023,34,45,1200
06-03-2023,47,28,1485
06-03-2023,45,3,1084
06-03-2023,47,46,1645
06-03-2023,2,16,1510
06-03-2023,25,23,932
06-03-2023,46,26,1390
06-03-2023,36,27,2432
06-03-2023,16,2,1245
06-03-2023,23,13,3790
06-03-2023,2,31,1508
06-03-2023,26,46,1430
06-03-2023,31,2,2256
06-03-2023,15,46,1304
06-03-2023,30,14,1160
06-03-2023,2,19,1340
06-03-2023,28,47,1265
06-03-2023,47,3,1090
06-03-2023,45,5,1015
06-03-2023,36,37,402
06-03-2023,46,47,1130
06-03-2023,5,45,1590
06-03-2023,46,20,1300
06-03-2023,3,47,725
06-03-2023,20,46,1295
06-03-2023,19,2,1005
06-03-2023,27,36,695
06-03-2023,14,30,1045
06-03-2023,45,39,872
06-03-2023,39,45,1704
06-03-2023,36,41,2068
06-03-2023,2,21,1105
06-03-2023,8,47,1035
06-03-2023,47,6,1195
06-03-2023,41,36,2408
06-03-2023,2,1,1330
06-03-2023,37,36,50
06-03-2023,47,30,1365
06-03-2023,47,8,1005
06-03-2023,22,36,1135
06-03-2023,6,47,945
06-03-2023,46,33,780
06-03-2023,45,44,970
06-03-2023,33,46,1190
06-03-2023,21,2,960
06-03-2023,36,22,1030
06-03-2023,2,14,1195
06-03-2023,1,2,745
06-03-2023,17,23,1705
06-03-2023,4,29,820
06-03-2023,2,24,980
06-03-2023,44,45,955
06-03-2023,47,10,960
06-03-2023,38,36,580
06-03-2023,19,30,940
07-03-2023,45,46,2662
07-03-2023,46,45,2674
07-03-2023,45,47,2752
07-03-2023,47,45,2182
07-03-2023,46,9,3027
07-03-2023,9,46,3807
07-03-2023,46,48,2985
07-03-2023,48,46,3435
07-03-2023,45,9,1923
07-03-2023,9,45,2259
07-03-2023,47,5,1959
07-03-2023,5,47,1587
07-03-2023,46,44,1304
07-03-2023,46,35,1624
07-03-2023,45,28,1152
07-03-2023,35,46,1712
07-03-2023,44,46,1188
07-03-2023,2,40,944
07-03-2023,11,36,532
07-03-2023,19,32,2124
07-03-2023,36,11,1928
07-03-2023,28,45,692
07-03-2023,2,30,2108
07-03-2023,40,2,740
07-03-2023,30,2,1616
07-03-2023,32,19,1128
07-03-2023,12,36,984
07-03-2023,47,43,2000
07-03-2023,13,23,844
07-03-2023,36,7,1248
07-03-2023,43,47,836
07-03-2023,7,36,688
07-03-2023,36,12,1260
07-03-2023,46,18,1148
07-03-2023,18,46,1380
07-03-2023,45,48,1048
07-03-2023,45,42,1184
07-03-2023,23,25,548
07-03-2023,48,45,1164
07-03-2023,42,45,940
07-03-2023,2,47,1150
07-03-2023,3,45,972
07-03-2023,46,15,860
07-03-2023,45,34,800
07-03-2023,47,2,1320
07-03-2023,34,45,920
07-03-2023,47,28,1360
07-03-2023,45,3,1452
07-03-2023,47,46,1470
07-03-2023,2,16,1275
07-03-2023,25,23,1280
07-03-2023,46,26,1250
07-03-2023,36,27,976
07-03-2023,16,2,1870
07-03-2023,23,13,1050
07-03-2023,2,31,2104
07-03-2023,26,46,1215
07-03-2023,31,2,2816
07-03-2023,15,46,1336
07-03-2023,30,14,896
07-03-2023,2,19,1110
07-03-2023,28,47,1660
07-03-2023,47,3,1505
07-03-2023,45,5,1625
07-03-2023,36,37,258
07-03-2023,46,47,1655
07-03-2023,5,45,1060
07-03-2023,46,20,965
07-03-2023,3,47,1010
07-03-2023,20,46,1325
07-03-2023,19,2,1055
07-03-2023,27,36,300
07-03-2023,14,30,2130
07-03-2023,45,39,816
07-03-2023,39,45,1112
07-03-2023,36,41,2180
07-03-2023,2,21,1400
07-03-2023,8,47,1125
07-03-2023,47,6,1270
07-03-2023,41,36,1820
07-03-2023,2,1,1090
07-03-2023,37,36,14
07-03-2023,47,30,1180
07-03-2023,47,8,1005
07-03-2023,22,36,1355
07-03-2023,6,47,980
07-03-2023,46,33,755
07-03-2023,45,44,910
07-03-2023,33,46,750
07-03-2023,21,2,1345
07-03-2023,36,22,1365
07-03-2023,2,14,1035
07-03-2023,1,2,1355
07-03-2023,17,23,380
07-03-2023,4,29,660
07-03-2023,2,24,805
07-03-2023,44,45,855
07-03-2023,47,10,895
07-03-2023,38,36,300
07-03-2023,19,30,1035
08-03-2023,45,46,2806
08-03-2023,46,45,2584
08-03-2023,45,47,2756
08-03-2023,47,45,2144
08-03-2023,46,9,3795
08-03-2023,9,46,3744
08-03-2023,46,48,3708
08-03-2023,48,46,3048
08-03-2023,45,9,2199
08-03-2023,9,45,2118
08-03-2023,47,5,2457
08-03-2023,5,47,1698
08-03-2023,46,44,1432
08-03-2023,46,35,2096
08-03-2023,45,28,1260
08-03-2023,35,46,1504
08-03-2023,44,46,1276
08-03-2023,2,40,1480
08-03-2023,11,36,768
08-03-2023,19,32,468
08-03-2023,36,11,344
08-03-2023,28,45,800
08-03-2023,2,30,2668
08-03-2023,40,2,1600
08-03-2023,30,2,2164
08-03-2023,32,19,412
08-03-2023,12,36,1792
08-03-2023,47,43,1752
08-03-2023,13,23,2632
08-03-2023,36,7,636
08-03-2023,43,47,1092
08-03-2023,7,36,488
08-03-2023,36,12,776
08-03-2023,46,18,1280
08-03-2023,18,46,1268
08-03-2023,45,48,1284
08-03-2023,45,42,1204
08-03-2023,23,25,1072
08-03-2023,48,45,940
08-03-2023,42,45,1096
08-03-2023,2,47,1220
08-03-2023,3,45,1220
08-03-2023,46,15,1188
08-03-2023,45,34,950
08-03-2023,47,2,1245
08-03-2023,34,45,750
08-03-2023,47,28,1685
08-03-2023,45,3,1768
08-03-2023,47,46,1545
08-03-2023,2,16,1445
08-03-2023,25,23,1980
08-03-2023,46,26,1365
08-03-2023,36,27,332
08-03-2023,16,2,1865
08-03-2023,23,13,1435
08-03-2023,2,31,2244
08-03-2023,26,46,1415
08-03-2023,31,2,1844
08-03-2023,15,46,1140
08-03-2023,30,14,1404
08-03-2023,2,19,1305
08-03-2023,28,47,1370
08-03-2023,47,3,1350
08-03-2023,45,5,1905
08-03-2023,36,37,15
08-03-2023,46,47,1810
08-03-2023,5,45,1050
08-03-2023,46,20,1370
08-03-2023,3,47,1105
08-03-2023,20,46,1205
08-03-2023,19,2,970
08-03-2023,27,36,400
08-03-2023,14,30,1320
08-03-2023,45,39,1064
08-03-2023,39,45,832
08-03-2023,36,41,2432
08-03-2023,2,21,1540
08-03-2023,8,47,1010
08-03-2023,47,6,1435
08-03-2023,41,36,2352
08-03-2023,2,1,1400
08-03-2023,37,36,10
08-03-2023,47,30,1220
08-03-2023,47,8,1175
08-03-2023,22,36,405
08-03-2023,6,47,1240
08-03-2023,46,33,890
08-03-2023,45,44,890
08-03-2023,33,46,745
08-03-2023,21,2,1235
08-03-2023,36,22,720
08-03-2023,2,14,1255
08-03-2023,1,2,1240
08-03-2023,17,23,775
08-03-2023,4,29,600
08-03-2023,2,24,840
08-03-2023,44,45,900
08-03-2023,47,10,1105
08-03-2023,38,36,665
08-03-2023,19,30,1015
09-03-2023,45,46,3380
09-03-2023,46,45,2586
09-03-2023,45,47,3052
09-03-2023,47,45,2460
09-03-2023,46,9,4770
09-03-2023,9,46,4056
09-03-2023,46,48,4818
09-03-2023,48,46,2907
09-03-2023,45,9,2670
09-03-2023,9,45,1869
09-03-2023,47,5,2562
09-03-2023,5,47,1692
09-03-2023,46,44,1976
09-03-2023,46,35,2464
09-03-2023,45,28,1644
09-03-2023,35,46,1924
09-03-2023,44,46,1568
09-03-2023,2,40,1400
09-03-2023,11,36,1904
09-03-2023,19,32,1424
09-03-2023,36,11,1024
09-03-2023,28,45,764
09-03-2023,2,30,2100
09-03-2023,40,2,1448
09-03-2023,30,2,1600
09-03-2023,32,19,1252
09-03-2023,12,36,1748
09-03-2023,47,43,1376
09-03-2023,13,23,2952
09-03-2023,36,7,1340
09-03-2023,43,47,1128
09-03-2023,7,36,1004
09-03-2023,36,12,1448
09-03-2023,46,18,1848
09-03-2023,18,46,1276
09-03-2023,45,48,1516
09-03-2023,45,42,1500
09-03-2023,23,25,1172
09-03-2023,48,45,1096
09-03-2023,42,45,1240
09-03-2023,2,47,1405
09-03-2023,3,45,1308
09-03-2023,46,15,1564
09-03-2023,45,34,1135
09-03-2023,47,2,975
09-03-2023,34,45,720
09-03-2023,47,28,1945
09-03-2023,45,3,1480
09-03-2023,47,46,1715
09-03-2023,2,16,1305
09-03-2023,25,23,1524
09-03-2023,46,26,1465
09-03-2023,36,27,824
09-03-2023,16,2,1300
09-03-2023,23,13,2040
09-03-2023,2,31,1860
09-03-2023,26,46,1210
09-03-2023,31,2,1516
09-03-2023,15,46,828
09-03-2023,30,14,1300
09-03-2023,2,19,1305
09-03-2023,28,47,1110
09-03-2023,47,3,1485
09-03-2023,45,5,1670
09-03-2023,36,37,51
09-03-2023,46,47,1290
09-03-2023,5,45,1395
09-03-2023,46,20,1745
09-03-2023,3,47,1350
09-03-2023,20,46,1200
09-03-2023,19,2,1135
09-03-2023,27,36,1480
09-03-2023,14,30,1055
09-03-2023,45,39,1868
09-03-2023,39,45,712
09-03-2023,36,41,2148
09-03-2023,2,21,1215
09-03-2023,8,47,1245
09-03-2023,47,6,1480
09-03-2023,41,36,2056
09-03-2023,2,1,1095
09-03-2023,37,36,134
09-03-2023,47,30,1040
09-03-2023,47,8,1150
09-03-2023,22,36,890
09-03-2023,6,47,1210
09-03-2023,46,33,1115
09-03-2023,45,44,1240
09-03-2023,33,46,1170
09-03-2023,21,2,1110
09-03-2023,36,22,1450
09-03-2023,2,14,1130
09-03-2023,1,2,1230
09-03-2023,17,23,1385
09-03-2023,4,29,1270
09-03-2023,2,24,845
09-03-2023,44,45,945
09-03-2023,47,10,870
09-03-2023,38,36,1555
09-03-2023,19,30,1215
10-03-2023,45,46,3918
10-03-2023,46,45,3438
10-03-2023,45,47,3858
10-03-2023,47,45,3056
10-03-2023,46,9,7071
10-03-2023,9,46,4632
10-03-2023,46,48,5556
10-03-2023,48,46,3852
10-03-2023,45,9,3279
10-03-2023,9,45,2553
10-03-2023,47,5,3825
10-03-2023,5,47,2145
10-03-2023,46,44,2952
10-03-2023,46,35,3952
10-03-2023,45,28,3240
10-03-2023,35,46,1764
10-03-2023,44,46,1908
10-03-2023,2,40,1984
10-03-2023,11,36,2324
10-03-2023,19,32,1424
10-03-2023,36,11,1220
10-03-2023,28,45,872
10-03-2023,2,30,2692
10-03-2023,40,2,1760
10-03-2023,30,2,2112
10-03-2023,32,19,1100
10-03-2023,12,36,1808
10-03-2023,47,43,2588
10-03-2023,13,23,2452
10-03-2023,36,7,1524
10-03-2023,43,47,1852
10-03-2023,7,36,1024
10-03-2023,36,12,1628
10-03-2023,46,18,2348
10-03-2023,18,46,1576
10-03-2023,45,48,1604
10-03-2023,45,42,2156
10-03-2023,23,25,1188
10-03-2023,48,45,1132
10-03-2023,42,45,1380
10-03-2023,2,47,1900
10-03-2023,3,45,1312
10-03-2023,46,15,1884
10-03-2023,45,34,1730
10-03-2023,47,2,1505
10-03-2023,34,45,1045
10-03-2023,47,28,2595
10-03-2023,45,3,1528
10-03-2023,47,46,1995
10-03-2023,2,16,1835
10-03-2023,25,23,1476
10-03-2023,46,26,1815
10-03-2023,36,27,948
10-03-2023,16,2,1365
10-03-2023,23,13,1885
10-03-2023,2,31,2388
10-03-2023,26,46,1605
10-03-2023,31,2,1696
10-03-2023,15,46,1068
10-03-2023,30,14,2060
10-03-2023,2,19,2155
10-03-2023,28,47,1495
10-03-2023,47,3,2090
10-03-2023,45,5,2205
10-03-2023,36,37,96
10-03-2023,46,47,1825
10-03-2023,5,45,1170
10-03-2023,46,20,1720
10-03-2023,3,47,1505
10-03-2023,20,46,1570
10-03-2023,19,2,1590
10-03-2023,27,36,2150
10-03-2023,14,30,1195
10-03-2023,45,39,2000
10-03-2023,39,45,1144
10-03-2023,36,41,2580
10-03-2023,2,21,1850
10-03-2023,8,47,1280
10-03-2023,47,6,1750
10-03-2023,41,36,2132
10-03-2023,2,1,1725
10-03-2023,37,36,184
10-03-2023,47,30,1735
10-03-2023,47,8,1800
10-03-2023,22,36,1115
10-03-2023,6,47,1300
10-03-2023,46,33,1765
10-03-2023,45,44,1295
10-03-2023,33,46,1050
10-03-2023,21,2,1105
10-03-2023,36,22,1320
10-03-2023,2,14,1365
10-03-2023,1,2,1120
10-03-2023,17,23,1445
10-03-2023,4,29,1165
10-03-2023,2,24,1470
10-03-2023,44,45,1050
10-03-2023,47,10,1195
10-03-2023,38,36,1605
10-03-2023,19,30,1165
11-03-2023,45,46,2782
11-03-2023,46,45,2622
11-03-2023,45,47,2508
11-03-2023,47,45,3036
11-03-2023,46,9,4053
11-03-2023,9,46,4569
11-03-2023,46,48,4287
11-03-2023,48,46,3465
